"pyov","in_fg","out_fg","in_str","out_str"
"PYO_01",1,5,3,16
"PYO_02",1,5,1,16
"PYO_03",1,5,4,16
"PYO_04",2,9,36,61
"PYO_05",1,9,1,61
"PYO_06",1,12,3,22
"PYO_07",1,12,1,22
"PYO_08",2,12,3,22
"PYO_09",1,4,2,9
"PYO_10",1,4,3,9
"PYO_11",1,4,1,9
"PYO_12",4,32,768,869
"PYO_13",12,32,24,869
"PYO_14",1,58,4,333
"PYO_15",1,58,7,333
"PYO_16",2,58,4,333
"PYO_17",1,58,1,333
"PYO_18",1,58,1,333
"PYO_19",1,58,2,333
"PYO_20",9,58,115,333
"PYO_21",1,32,2,387
"PYO_22",10,32,175,387
"PYO_23",2,32,14,387
"PYO_24",2,32,2,387
"PYO_25",1,32,3,387
"PYO_26",1,32,2,387
"PYO_27",1,32,1,387
"PYO_28",8,32,148,387
"PYO_29",2,3,12,15
"PYO_30",4,6,101,103
"PYO_31",1,6,1,103
"PYO_32",1,61,11,272
"PYO_33",1,61,12,272
"PYO_34",1,61,2,272
"PYO_35",1,61,3,272
"PYO_36",1,61,1,272
"PYO_37",1,61,1,272
"PYO_38",1,61,1,272
"PYO_39",1,61,1,272
"PYO_40",1,61,1,272
"PYO_41",1,61,1,272
"PYO_42",1,61,1,272
"PYO_43",1,61,1,272
"PYO_44",1,61,4,272
"PYO_45",1,61,3,272
"PYO_46",6,6,13,13
"PYO_47",1,4,3,18
"PYO_48",1,4,2,18
"PYO_49",4,4,11,11
"PYO_50",7,25,21,55
"PYO_51",1,25,2,55
"PYO_52",1,25,1,55
"PYO_53",1,9,9,34
"PYO_54",2,9,2,34
"PYO_55",1,4,1,19
"PYO_56",1,4,2,19
"PYO_57",2,4,16,19
"PYO_58",1,14,1,49
"PYO_59",1,14,1,49
"PYO_60",3,14,25,49
"PYO_61",1,14,2,49
"PYO_62",2,14,7,49
"PYO_63",1,14,4,49
"PYO_64",1,14,1,49
"PYO_65",1,14,2,49
"PYO_66",2,11,5,37
"PYO_67",2,9,3,18
"PYO_68",1,9,1,18
"PYO_69",1,9,1,18
"PYO_70",1,9,3,18
"PYO_71",1,9,1,18
"PYO_72",1,9,4,18
"PYO_73",2,4,4,6
"PYO_74",1,4,1,6
"PYO_75",1,4,1,6
"PYO_76",1,7,13,52
"PYO_77",2,7,28,52
"PYO_78",1,7,4,52
"PYO_79",2,7,6,52
"PYO_80",3,5,13,16
"PYO_81",2,13,2,84
"PYO_82",1,13,1,84
"PYO_83",1,13,2,84
"PYO_84",1,4,1,10
"PYO_85",1,4,1,10
"PYO_86",1,4,2,10
"PYO_87",1,4,6,10
"PYO_88",4,5,65,66
"PYO_89",1,5,1,66
"PYO_90",3,38,108,297
"PYO_91",3,38,53,297
"PYO_92",2,38,3,297
"PYO_93",1,38,1,297
