original_pyov_id,matrix_index,node_id,label,active_production,active_utilization,fg_production_count,fg_utilization_count,strain_production_count,strain_utilization_count,notes
6,1,PYO_01,pyov_6,TRUE,TRUE,1,5,3,16,active flags from FG nodes
7,2,PYO_02,pyov_7,TRUE,TRUE,1,5,1,16,active flags from FG nodes
8,3,PYO_03,pyov_8,TRUE,TRUE,1,5,4,16,active flags from FG nodes
10,4,PYO_04,pyov_10,TRUE,TRUE,2,9,36,61,active flags from FG nodes
11,5,PYO_05,pyov_11,TRUE,TRUE,1,9,1,61,active flags from FG nodes
12,6,PYO_06,pyov_12,TRUE,TRUE,1,12,3,22,active flags from FG nodes
13,7,PYO_07,pyov_13,TRUE,TRUE,1,12,1,22,active flags from FG nodes
14,8,PYO_08,pyov_14,TRUE,TRUE,2,12,3,22,active flags from FG nodes
16,9,PYO_09,pyov_16,TRUE,TRUE,1,4,2,9,active flags from FG nodes
17,10,PYO_10,pyov_17,TRUE,TRUE,1,4,3,9,active flags from FG nodes
18,11,PYO_11,pyov_18,TRUE,TRUE,1,4,1,9,active flags from FG nodes
22,12,PYO_12,pyov_22,TRUE,TRUE,4,32,768,869,active flags from FG nodes
23,13,PYO_13,pyov_23,TRUE,TRUE,12,32,24,869,active flags from FG nodes
27,14,PYO_14,pyov_27,TRUE,TRUE,1,58,4,333,active flags from FG nodes
28,15,PYO_15,pyov_28,TRUE,TRUE,1,58,7,333,active flags from FG nodes
29,16,PYO_16,pyov_29,TRUE,TRUE,2,58,4,333,active flags from FG nodes
30,17,PYO_17,pyov_30,TRUE,TRUE,1,58,1,333,active flags from FG nodes
31,18,PYO_18,pyov_31,TRUE,TRUE,1,58,1,333,active flags from FG nodes
32,19,PYO_19,pyov_32,TRUE,TRUE,1,58,2,333,active flags from FG nodes
33,20,PYO_20,pyov_33,TRUE,TRUE,9,58,115,333,active flags from FG nodes
34,21,PYO_21,pyov_34,TRUE,TRUE,1,32,2,387,active flags from FG nodes
35,22,PYO_22,pyov_35,TRUE,TRUE,10,32,175,387,active flags from FG nodes
36,23,PYO_23,pyov_36,TRUE,TRUE,2,32,14,387,active flags from FG nodes
37,24,PYO_24,pyov_37,TRUE,TRUE,2,32,2,387,active flags from FG nodes
